"","Date","NZU","EUA","KAU","CEA","HBEA","ACCU","UKA","WCA","CCA"
"2665",2017-05-25,10.3070175438596,4.98,16.5793857656408,NA,2.18465539661899,NA,NA,NA,12.6862342760282
"2666",2017-05-26,10.4628401843784,5.17,16.6405324970399,NA,2.18562091503268,NA,NA,NA,12.7168663924164
"2667",2017-05-29,10.4747455591377,5.16,16.6224466962887,NA,NA,NA,NA,NA,12.7373701182372
"2668",2017-05-30,10.657869694855,5.14,16.5935806320682,NA,NA,NA,NA,NA,12.724671376196
"2669",2017-05-31,10.586011342155,4.97,16.6604372271307,NA,2.17885117493473,NA,NA,NA,12.6946001245441
"2670",2017-06-01,10.5597884264215,5.08,16.7079060220067,NA,2.18372703412073,NA,NA,NA,12.7285701543127
"2671",2017-06-02,10.5776539143653,5.15,16.2644197965757,NA,2.14509803921569,NA,NA,NA,12.6595744680851
"2672",2017-06-05,NA,5.17,16.3856188355075,NA,2.14297847874662,NA,NA,NA,12.6821898329186
"2673",2017-06-06,10.5135720657576,4.96,NA,NA,2.08164651187087,NA,NA,NA,12.629711751663
"2674",2017-06-07,10.5925973278783,4.87,16.2151473205458,NA,2.12483574244415,NA,NA,NA,12.6521545979565
"2675",2017-06-08,10.6499356499356,5.05,16.311136926027,NA,2.10892388451444,NA,NA,NA,12.6828398144845
"2676",2017-06-09,10.6287039422829,5.03,16.2916928260921,NA,2.07368421052632,NA,NA,NA,12.7323087919943
"2677",2017-06-12,10.6054762822985,4.92,16.0006953388592,NA,2.0874060273685,NA,NA,NA,12.7232142857143
"2678",2017-06-13,10.6944981316841,5,16.2318381566966,NA,2.05,NA,NA,NA,12.7340823970037
"2679",2017-06-14,10.7001748817929,4.92,16.374632467191,NA,2.04430859262743,NA,NA,NA,12.7574217705269
"2680",2017-06-15,10.6828763579928,4.95,16.1257010310916,NA,2.06332453825858,NA,NA,NA,12.860091537288
"2681",2017-06-16,10.7175236368346,4.87,16.5670016882564,NA,2.04599211563732,NA,NA,NA,12.7980709118514
"2682",2017-06-19,10.6823193669737,4.92,16.5871536444346,NA,2.05588324159584,NA,NA,NA,12.908144958737
"2683",2017-06-20,10.6355298250179,4.94,16.5328294756731,NA,2.04619071445501,NA,NA,NA,12.9782647745644
"2684",2017-06-21,10.6754658385093,4.88,16.4640026342404,NA,2.01581027667984,NA,NA,NA,13.0037614185922
"2685",2017-06-22,10.7484854406879,4.86,16.5458556571068,NA,2.00939731205376,NA,NA,NA,12.9955156950673
"2686",2017-06-23,10.741488184363,4.87,15.9174185414286,NA,1.89491591964928,NA,NA,NA,12.982487491065
"2687",2017-06-26,10.7568941912771,4.78,16.5887259858443,NA,1.83893634250189,NA,NA,NA,13.0154754450309
"2688",2017-06-27,10.7726835524206,4.93,16.2550022834408,NA,1.8012987012987,NA,NA,NA,12.8870071447473
"2689",2017-06-28,10.9477334018236,4.93,16.2223544043692,NA,1.80366953457033,NA,NA,NA,12.8428270042194
"2690",2017-06-29,10.9097869082557,5.07,16.3951927769644,NA,1.7235142118863,NA,NA,NA,12.9283216783217
"2691",2017-06-30,11.0369609856263,5.03,16.4463619117557,NA,1.75656448066227,NA,NA,NA,12.9913332749715
"2692",2017-07-03,11.0419207806381,5.13,15.5843161280441,NA,1.7704280155642,NA,NA,NA,13.0633802816901
"2693",2017-07-04,11.0518537557026,5.11,15.6055888713363,NA,1.84415584415584,NA,NA,NA,13.0841121495327
"2694",2017-07-05,11.0775751348574,5.04,15.5594124888179,NA,1.82704811443433,NA,NA,NA,13.1166314305849
"2695",2017-07-06,11.0212142447601,5.23,15.4102457309454,NA,1.7906976744186,NA,NA,NA,13.0712659779373
"2696",2017-07-07,11.0777678457413,5.34,15.485648190424,NA,1.8150064683053,NA,NA,NA,13.2982456140351
"2697",2017-07-10,11.1699751069126,5.39,15.5458622033108,NA,1.78654592496766,NA,NA,NA,13.2994122291429
"2698",2017-07-11,11.1832157258065,5.31,15.4577702831013,NA,1.78994845360825,NA,NA,NA,13.4409071085914
"2699",2017-07-12,11.3556842038298,5.47,15.6819530389082,NA,1.77749029754204,NA,NA,NA,13.4180543382997
"2700",2017-07-13,11.4986831117107,5.35,15.7089483109986,NA,1.80440414507772,NA,NA,NA,13.3918385256692
"2701",2017-07-14,11.4364428498206,5.41,15.7315357380293,NA,1.78783958602846,NA,NA,NA,13.3077526816081
"2702",2017-07-17,11.3959568905044,5.42,15.7261866122626,NA,1.77777777777778,NA,NA,NA,13.2949991287681
"2703",2017-07-18,11.356406667515,5.45,15.6300528187992,NA,1.7474358974359,NA,NA,NA,13.3743074792244
"2704",2017-07-19,11.3070141816788,5.39,15.7300765246966,NA,1.71171171171171,NA,NA,NA,13.4184471078687
"2705",2017-07-20,11.2595419847328,5.29,15.6238003838772,NA,1.62547770700637,NA,NA,NA,13.2857511393929
"2706",2017-07-21,11.1565756665175,5.08,15.6118143459916,NA,1.67643312101911,NA,NA,NA,13.1206586056084
"2707",2017-07-24,11.1941728963006,5.13,15.6907798356131,NA,1.72576530612245,NA,NA,NA,13.1036260525864
"2708",2017-07-25,11.2420382165605,5.16,15.6154082259055,NA,1.68066157760814,NA,NA,NA,13.0975881898549
"2709",2017-07-26,11.440840917831,5.25,15.6042725801876,NA,1.69808917197452,NA,NA,NA,12.9901125127855
"2710",2017-07-27,11.4839289151216,5.13,15.6137308760569,NA,1.70025510204082,NA,NA,NA,13.0524152106886
"2711",2017-07-28,11.4130434782609,5.17,15.4126967296302,NA,1.66455696202532,NA,NA,NA,12.9872340425532
"2712",2017-07-31,11.3585887429405,5.22,15.3678852732614,NA,1.65283018867925,NA,NA,NA,12.8969594594595
"2713",2017-08-01,11.2953236727204,5.28,15.3893854833099,NA,1.56313131313131,NA,NA,NA,12.8717905262266
"2714",2017-08-02,11.1849113352967,5.41,15.3009819696537,NA,1.47804265997491,NA,NA,NA,12.7804960350936
"2715",2017-08-03,11.0881413268183,5.41,15.2018824935569,NA,2.22932330827068,NA,NA,NA,12.5547691270644
"2716",2017-08-04,11.2055398174378,5.35,15.3334940775792,NA,1.48795944233207,NA,NA,NA,12.7294357579878
"2717",2017-08-07,11.0805917972408,5.26,15.2853388752099,NA,1.57626391377874,NA,NA,NA,12.7194098193844
"2718",2017-08-08,11.1021019148007,5.27,15.3124339981293,NA,1.55923566878981,NA,NA,NA,12.7074644650609
"2719",2017-08-09,11.1402359108781,5.36,15.1671373709299,NA,1.57015306122449,NA,NA,NA,12.673301012163
"2720",2017-08-10,10.9957352123123,5.36,15.0872159998811,NA,1.58811475409836,NA,NA,NA,12.625318606627
"2721",2017-08-11,10.9604309864388,5.37,15.0406022168218,NA,1.60559796437659,NA,NA,NA,12.5719120135364
"2722",2017-08-14,10.9619548407052,5.5,15.1399889619785,NA,1.57598594597347,NA,NA,NA,12.591271862795
"2723",2017-08-15,10.9583127775037,5.52,NA,NA,1.55761650231538,NA,NA,NA,12.6395636239666
"2724",2017-08-16,11.1269969540623,5.78,15.1326730893127,NA,1.58111853280374,NA,NA,NA,12.6019714479946
"2725",2017-08-17,11.1504534724811,5.79,15.0204008429359,NA,1.57769945530279,NA,NA,NA,12.6247547556086
"2726",2017-08-18,11.1608530746751,5.81,14.9344006451661,NA,1.58312357052502,NA,NA,NA,12.6020408163265
"2727",2017-08-21,11.1317829457364,5.74,14.9171558452187,NA,1.56543837357052,NA,NA,NA,12.544438801422
"2728",2017-08-22,11.1406820573126,5.76,15.0695227358136,NA,1.59770114942529,NA,NA,NA,12.7551020408163
"2729",2017-08-23,11.046511627907,5.93,15.2640760346487,NA,1.60814249363868,NA,NA,NA,12.8335451080051
"2730",2017-08-24,11.0370551547022,5.93,15.265568247618,NA,1.70380078636959,NA,NA,NA,12.84224802916
"2731",2017-08-25,10.9910128734515,6.06,15.1937009759895,NA,1.60963244613435,NA,NA,NA,12.8144917812815
"2732",2017-08-28,10.9657094389919,6.09,15.1674773421798,NA,1.59482377323678,NA,NA,NA,12.7160390748935
"2733",2017-08-29,11.031640198812,6.02,15.0921513378486,NA,1.59042218021424,NA,NA,NA,12.7631139325092
"2734",2017-08-30,11.030303030303,6.01,15.2110058745954,NA,1.61704834605598,NA,NA,NA,12.8945374968437
"2735",2017-08-31,11.0019291053774,5.93,15.1687240338345,NA,1.70955414012739,NA,NA,NA,12.8988915015116
"2736",2017-09-01,11.0742305371153,5.82,15.2769416014449,NA,1.59660624758966,NA,NA,NA,13.0049759635658
"2737",2017-09-04,11.0488921001927,5.92,15.0707508648978,NA,1.6413881748072,NA,NA,NA,12.9634300126103
"2738",2017-09-05,11.1151603498542,6.49,15.060799632012,NA,1.62387676508344,NA,NA,NA,13.0372733378106
"2739",2017-09-06,11.026524077095,6.7,15.0526471896782,NA,1.66183302107127,NA,NA,NA,13.0004196391104
"2740",2017-09-07,10.9626955475331,6.89,14.985641835778,NA,1.65124646620406,NA,NA,NA,12.7942766824723
"2741",2017-09-08,11.0125512913348,7.06,14.9165993092806,NA,1.6628145865434,NA,NA,NA,12.7316546164714
"2742",2017-09-11,11.1347087378641,6.86,15.0407136559307,NA,1.64788732394366,NA,NA,NA,12.7269684545226
"2743",2017-09-12,11.1463028383482,6.83,15.0450610696075,NA,1.66303930354628,NA,NA,NA,12.6870037609695
"2744",2017-09-13,11.1517367458867,7.09,15.101020620704,NA,1.66173633440514,NA,NA,NA,12.7976440891881
"2745",2017-09-14,11.0653254151012,7.1,15.0294666390263,NA,1.67609254498715,NA,NA,NA,12.7789897633831
"2746",2017-09-15,11.1572265625,6.93,15.0151260752827,NA,1.67135190391004,NA,NA,NA,12.8297462524077
"2747",2017-09-18,11.1205639280506,6.72,15.1941891491254,NA,1.67198468410976,NA,NA,NA,12.8430388219545
"2748",2017-09-19,11.1036544445122,7.01,15.1256908013665,NA,1.67428281289667,NA,NA,NA,12.7501667778519
"2749",2017-09-20,11.2877288471054,6.88,15.3574987728875,NA,1.65123652504756,NA,NA,NA,12.7743671684467
"2750",2017-09-21,11.1070313934276,6.56,15.281354527425,NA,1.6925426317129,NA,NA,NA,12.7732640924701
"2751",2017-09-22,11.1834828560895,6.64,15.2686995356541,NA,1.66412601626016,NA,NA,NA,12.7844712182062
"2752",2017-09-25,11.0981666564474,7.28,15.3749934851723,NA,1.69729453802961,NA,NA,NA,12.8651021441837
"2753",2017-09-26,11.0031175499725,6.97,15.4083779790774,NA,1.84853524369963,NA,NA,NA,12.9505555084386
"2754",2017-09-27,11.017780502759,6.91,15.360126153869,NA,1.74765995640467,NA,NA,NA,13.0460699991484
"2755",2017-09-28,11.0217364607638,6.96,15.3339012556021,NA,1.7044875063743,NA,NA,NA,12.9582484725051
"2756",2017-09-29,11.012812690665,7.06,15.3887129709094,NA,1.76058133605303,NA,NA,NA,12.9275313240772
"2757",2017-10-02,11.0109189056557,6.93,NA,NA,NA,NA,NA,NA,13.0349531116795
"2758",2017-10-03,10.9736023898067,6.99,NA,NA,NA,NA,NA,NA,13.0131153125532
"2759",2017-10-04,11.002072412532,6.89,NA,NA,NA,NA,NA,NA,12.9857981120844
"2760",2017-10-05,10.9990277102577,6.87,NA,NA,NA,NA,NA,NA,13.0230572160547
"2761",2017-10-06,11.0062893081761,6.98,NA,NA,NA,NA,NA,NA,13.0145742776783
"2762",2017-10-09,10.9833895040924,6.94,NA,NA,1.81619537275064,NA,NA,NA,13.0079223102479
"2763",2017-10-10,10.9554597701149,7.36,15.5320086322125,NA,1.57161290322581,NA,NA,NA,12.9341013044215
"2764",2017-10-11,10.9617682198327,7.35,15.4979845169174,NA,1.56835085919467,NA,NA,NA,12.9037699249389
"2765",2017-10-12,11.090350189862,7.4,15.5336325549092,NA,1.801026957638,NA,NA,NA,12.9512215740976
"2766",2017-10-13,11.1427878199685,7.32,15.7051932339924,NA,1.7976083322618,NA,NA,NA,12.9927254271697
"2767",2017-10-16,11.1678521490668,7.36,15.7186585741898,NA,1.80578778135048,NA,NA,NA,13.0733361593896
"2768",2017-10-17,NA,7.4,15.8320672693633,NA,1.79259830377795,NA,NA,NA,13.1055583885773
"2769",2017-10-18,NA,7.79,15.8154316638434,NA,1.91391237509608,NA,NA,NA,13.0652413676084
"2770",2017-10-19,NA,7.64,15.8600722680651,NA,1.85933503836317,NA,NA,NA,12.9535864978903
"2771",2017-10-20,11.1577329945039,7.57,15.9009938121133,NA,1.79391761837547,NA,NA,NA,12.959348213528
"2772",2017-10-23,NA,7.44,16.0107893884255,NA,1.76508344030809,NA,NA,NA,12.9479867200136
"2773",2017-10-24,11.0935023771791,7.46,16.0685793419032,NA,1.75512820512821,NA,NA,NA,12.9177651160813
"2774",2017-10-25,11.029497493296,7.39,16.1533895821907,NA,1.76245210727969,NA,NA,NA,12.8936674568236
"2775",2017-10-26,11.1300364148949,7.2,16.3643698195353,NA,1.76932989690722,NA,NA,NA,13.0987124463519
"2776",2017-10-27,11.2322920988679,7.16,16.4641197056369,NA,1.81839435778208,NA,NA,NA,13.2150241212957
"2777",2017-10-30,11.2153946048049,7.14,16.5382059293097,NA,1.751617076326,NA,NA,NA,13.2200188857413
"2778",2017-10-31,11.1418156161806,7.38,16.7547958681751,NA,1.80933852140078,NA,NA,NA,13.2858124355891
"2779",2017-11-01,11.2302951286002,7.49,16.8981768572492,NA,1.89766180955608,NA,NA,NA,13.308082981837
"2780",2017-11-02,11.2508154913706,7.67,16.8289086684319,NA,1.81558441558442,NA,NA,NA,13.1691832532601
"2781",2017-11-03,11.288978814568,7.87,16.8402187683466,NA,1.8358741485566,NA,NA,NA,13.1644697165504
"2782",2017-11-06,11.4873758525787,7.92,16.9285360109086,NA,1.86947521903844,NA,NA,NA,13.1277457145318
"2783",2017-11-07,11.4367405289492,7.76,16.9855661467584,NA,1.86356419666328,NA,NA,NA,13.0513595166163
"2784",2017-11-08,11.5336096593981,7.7,16.9666168256157,NA,1.94998763358977,NA,NA,NA,13.0509790390753
"2785",2017-11-09,11.4897934821535,7.55,16.9125391102467,NA,1.91313809048871,NA,NA,NA,12.9982817869416
"2786",2017-11-10,11.437228922821,7.4,16.9206033228696,NA,1.93877945899926,NA,NA,NA,12.9897967932779
"2787",2017-11-13,11.3905325443787,7.34,17.2005608378857,NA,2.12765957446809,NA,NA,NA,13.0047149592799
"2788",2017-11-14,11.21473536955,7.38,17.951136398211,NA,2.10141206675225,NA,NA,NA,12.8602916242794
"2789",2017-11-15,11.2232398063349,7.68,18.1583655167648,NA,2.0720351990177,NA,NA,NA,12.8742261046561
"2790",2017-11-16,11.1764363467024,7.51,18.6033532544241,NA,2.06835569566722,NA,NA,NA,12.957770413799
"2791",2017-11-17,11.1098265895954,7.49,18.9242641641137,NA,2.05644335177218,NA,NA,NA,12.9313999830408
"2792",2017-11-20,11.1710770659239,7.43,20.2199306300841,NA,2.04608508014797,NA,NA,NA,12.9986362086601
"2793",2017-11-21,11.2016293279022,7.4,20.3205964876631,NA,2.03341902313625,NA,NA,NA,12.9930987475505
"2794",2017-11-22,11.2074988355845,7.37,21.0519749871349,NA,1.98121439203408,NA,NA,NA,12.8172588832487
"2795",2017-11-23,11.1944638287974,7.64,21.8180684775664,NA,1.9503432347469,NA,NA,NA,12.7848101265823
"2796",2017-11-24,11.1175214907979,7.75,21.6393341267756,NA,1.95108930523426,NA,NA,NA,12.699077954736
"2797",2017-11-27,11.1847074545349,7.7,19.4222646977217,NA,1.90848909162527,NA,NA,NA,12.7521856086079
"2798",2017-11-28,11.2483972490966,7.59,19.107634474852,NA,1.90333019084261,NA,NA,NA,12.822028887575
"2799",2017-11-29,11.4725530060993,7.7,19.1291176401696,NA,1.89901669451211,NA,NA,NA,12.8133704735376
"2800",2017-11-30,11.3929862825001,7.53,18.5485740783677,NA,1.89857353165135,NA,NA,NA,12.7709628633843
"2801",2017-12-01,11.5551694178975,7.68,18.2602276700727,NA,1.90792995335322,NA,NA,NA,12.7765161073261
"2802",2017-12-04,11.3866250505751,7.54,18.2511513758262,NA,1.92661253255707,NA,NA,NA,12.7865812542144
"2803",2017-12-05,11.5245958832422,7.43,16.4614498528977,NA,1.96626702927695,NA,NA,NA,12.8129228687415
"2804",2017-12-06,11.8165373169166,7.28,17.0277797171604,NA,1.95763799743261,NA,NA,NA,12.835947435354
"2805",2017-12-07,11.7500290124173,7.35,17.4947515745276,NA,1.94871794871795,NA,NA,NA,12.6157505734432
"2806",2017-12-08,11.7759944173064,7.15,17.517225271517,NA,1.95002890359047,NA,NA,NA,12.7082624957497
"2807",2017-12-11,11.9809713983673,7.21,17.5773010640126,NA,1.95378690629012,NA,NA,NA,12.737933378654
"2808",2017-12-12,12.1367824238129,7.15,16.7722407713671,NA,1.9639175257732,NA,NA,NA,12.7683134582624
"2809",2017-12-13,12.3240482271188,7.07,16.7798329821275,NA,1.96272493573265,NA,NA,NA,12.676532769556
"2810",2017-12-14,12.4518233026979,7.09,17.0099875156055,NA,1.95372750642673,NA,NA,NA,12.7536724123291
"2811",2017-12-15,12.4315964787057,7.18,17.0504317357027,NA,1.94974616027248,NA,NA,NA,12.7637848876787
"2812",2017-12-18,12.3508105219405,7.39,17.2103575060627,NA,1.94615384615385,NA,NA,NA,12.8172481113658
"2813",2017-12-19,12.2511485451761,7.5,17.2893156701946,NA,1.96794871794872,NA,NA,NA,12.7470856563609
"2814",2017-12-20,12.2858830478441,7.77,17.0106511646054,NA,1.98205128205128,NA,NA,NA,12.6885163029741
"2815",2017-12-21,12.4135485015074,7.98,17.1641674598593,NA,1.97541928050186,NA,NA,NA,NA
"2816",2017-12-22,12.4400213257508,8.15,17.2320610328271,NA,2.00161980793706,NA,NA,NA,NA
"2817",2017-12-25,NA,NA,NA,NA,2.01849752679307,NA,NA,NA,NA
"2818",2017-12-26,NA,NA,17.2565261044177,NA,2.01156456452589,NA,NA,NA,13.0291786135942
"2819",2017-12-27,12.3775601068566,8.14,17.2303065428173,NA,2.0242032664154,NA,NA,NA,NA
"2820",2017-12-28,12.2855955843077,8.17,15.6642830849239,NA,2.00986989681472,NA,NA,NA,NA
"2821",2017-12-29,12.1684683088192,8.09,NA,NA,2.0194637842828,NA,NA,NA,12.8792930976992
"2822",2018-01-02,NA,7.77,15.6163378126196,NA,1.94752813736411,8.60445483472953,NA,NA,12.8390146802687
"2823",2018-01-03,12.1620025977093,7.8,15.6452899854499,NA,1.94794376593918,8.67523318765899,NA,NA,12.8704628704629
"2824",2018-01-04,12.2457451224575,7.74,15.6173133535838,NA,1.9463601532567,8.69933533168252,NA,NA,12.811800778984
"2825",2018-01-05,12.3077840028609,7.75,17.2304414909031,NA,1.89428384799621,8.7294840776826,NA,NA,12.8367143332225
"2826",2018-01-08,12.5029983209403,7.62,17.2185741455283,NA,1.71510917255311,8.74836173001311,NA,NA,12.8959465106561
"2827",2018-01-09,12.7497450050999,7.75,17.2117039586919,NA,1.94620009249268,8.78285377203906,NA,NA,12.8697109342271
"2828",2018-01-10,12.7741624487828,7.85,17.226663743354,NA,1.86802056489352,8.83009453781512,NA,NA,12.8087065717874
"2829",2018-01-11,12.8243814121907,7.78,17.1770327456706,NA,1.94545570671265,8.82256477533618,NA,NA,12.6755880641676
"2830",2018-01-12,12.6950101226629,7.83,17.0492413087618,NA,1.89540816326531,8.76566456723589,NA,NA,12.531801395158
"2831",2018-01-15,12.6228044060732,7.75,16.8886500594941,NA,NA,8.80213070027283,NA,NA,NA
"2832",2018-01-16,12.6897533206831,8.01,16.8720713535236,NA,1.90355329949239,8.7987012987013,NA,NA,12.4806264785056
"2833",2018-01-17,12.7103472968135,8.15,16.930630589032,NA,1.89072426937738,8.89586603872318,NA,NA,12.5738673670387
"2834",2018-01-18,12.709588877618,8.47,16.806979480206,NA,1.88100930966068,8.8596835360272,NA,NA,12.5520961019858
"2835",2018-01-19,12.7426461831607,8.73,16.8710362650593,NA,1.86262502551541,8.89819419000262,NA,NA,12.5941080196399
"2836",2018-01-22,NA,8.72,16.7956880888034,NA,1.85246570452343,8.92565225920356,NA,NA,12.536704730832
"2837",2018-01-23,12.7093301435407,8.98,16.6751305586927,NA,1.91757480194809,8.87978142076503,NA,NA,12.4989834919086
"2838",2018-01-24,12.5657855833481,9.43,16.2882489753555,NA,1.87568959176168,8.90130595802742,NA,NA,12.381105916492
"2839",2018-01-25,12.5302913883799,9.21,16.6584636353311,NA,1.89375276356516,8.8684619368203,NA,NA,12.3759580475998
"2840",2018-01-26,12.5843894350349,9.05,16.6544281853486,NA,1.89567430025445,NA,NA,NA,12.3359368709236
"2841",2018-01-29,NA,8.97,16.3809437537272,NA,1.90355977152183,8.989865969271,NA,NA,12.3818754543252
"2842",2018-01-30,12.5458200307438,8.85,16.4714907827343,NA,1.84956372205592,8.99374348279458,NA,NA,12.3629032258065
"2843",2018-01-31,12.6498160674024,9.23,16.5687603554752,NA,1.89923469387755,NA,NA,NA,12.3027375201288
"2844",2018-02-01,12.6264119699568,9.23,16.439011268195,NA,1.88720173535792,NA,NA,NA,12.2081867604733
"2845",2018-02-02,12.5424920876802,8.92,16.1342606235634,NA,1.90114554566841,NA,NA,NA,12.2632423756019
"2846",2018-02-05,12.5734430082256,9.04,16.1849369230883,NA,1.91524772756369,8.82390417940877,NA,NA,12.3635481523409
"2847",2018-02-06,NA,8.78,16.4739711256215,NA,1.8860889688866,NA,NA,NA,12.3707175177763
"2848",2018-02-07,12.6623376623377,8.97,16.4690382081686,NA,1.91306611140031,8.86705792293952,NA,NA,12.4775729897244
"2849",2018-02-08,12.672403630791,9.09,16.3841639607972,NA,1.93569214876033,NA,NA,NA,12.462229481421
"2850",2018-02-09,12.7635631366975,9.21,16.580248402267,NA,1.95055302537411,8.83121851686539,NA,NA,12.4826289544674
"2851",2018-02-12,12.7061048401395,9.45,16.5489435004024,NA,1.85712996040702,8.82804503582395,NA,NA,12.3830445041087
"2852",2018-02-13,12.6744802402968,9.87,16.582013743651,NA,1.80459770114943,8.74960229080496,NA,NA,12.3238866396761
"2853",2018-02-14,12.7537432680357,9.58,16.5187487798651,NA,1.87150837988827,NA,NA,NA,12.2188303341902
"2854",2018-02-15,12.7362123096973,9.52,NA,NA,NA,8.83268729745186,NA,NA,12.1631347461016
"2855",2018-02-16,12.8067667381463,9.48,NA,NA,NA,8.86027536970933,NA,NA,12.2863592389552
"2856",2018-02-19,12.7280289975637,9.85,16.6277426327763,NA,NA,8.86536131130812,NA,NA,NA
"2857",2018-02-20,12.6280676673815,9.7,16.6065308956959,NA,NA,8.88235670010863,NA,NA,12.3216601815824
"2858",2018-02-21,12.6310772163966,9.53,16.6625010414063,NA,NA,NA,NA,NA,12.3351245725452
"2859",2018-02-22,12.6518218623482,9.69,16.5265664555773,NA,2.08545918367347,8.87743413516609,NA,NA,12.2881012247546
"2860",2018-02-23,12.5133436128573,9.78,16.632268112162,NA,1.89296714579055,8.92174356359929,NA,NA,12.3647604327666
"2861",2018-02-26,12.5118595825427,9.6,16.6994329783439,NA,1.82309772112785,NA,NA,NA,12.3822669697954
"2862",2018-02-27,12.3321701070562,10.13,16.6477487703367,NA,1.84864165588616,8.94676515537443,NA,NA,12.5173738860273
"2863",2018-02-28,12.3898515583417,10.07,16.6430889573105,NA,1.92800725106824,8.94391749952257,NA,NA,12.4907733945707
"2864",2018-03-01,12.4682384919931,9.97,NA,NA,1.83447208972541,NA,NA,NA,12.3991195891416
"2865",2018-03-02,12.284001410603,10.1,16.5585344191718,NA,1.84474465254324,8.85597226599433,NA,NA,12.3325485101892
"2866",2018-03-05,12.2437024018746,10.32,16.5653918844639,NA,1.91486641953215,8.87629839471199,NA,NA,12.2740170247264
"2867",2018-03-06,12.3126652953277,10.44,16.8401250113785,NA,1.93011647254576,8.93138925708515,NA,NA,12.2480245121755
"2868",2018-03-07,12.2953224954516,10.61,16.7758608963751,NA,1.89408926725293,NA,NA,NA,12.262326780535
"2869",2018-03-08,12.3547797369818,11.08,16.8054504163512,NA,1.86919470032835,8.95342951151607,NA,NA,12.3476848090983
"2870",2018-03-09,12.3979169132442,11.09,16.9501878264056,NA,1.88275676575688,NA,NA,NA,12.3527021535961
"2871",2018-03-12,12.3055078980063,11.06,17.1459924100407,NA,1.84210526315789,9.03460605286681,NA,NA,12.3175478430101
"2872",2018-03-13,12.3588197031518,11.38,16.7373523174796,NA,1.88893568684509,8.94613285959013,NA,NA,12.2608765840665
"2873",2018-03-14,12.4014464402158,11.17,16.8050612890471,NA,1.84931243512028,9.01388711937826,NA,NA,12.2927618277396
"2874",2018-03-15,12.3802200402224,11.16,16.7299107991574,NA,NA,8.87423935091278,NA,NA,12.3211963589077
"2875",2018-03-16,12.2937826571949,11.14,16.8918918918919,NA,1.86944766319042,8.72841444270016,NA,NA,12.3382436721738
"2876",2018-03-19,12.2929637025725,11.04,16.6326453466394,NA,1.89748455088592,8.73239436619718,NA,NA,12.3165490959215
"2877",2018-03-20,12.2953224954516,11.52,16.7837716186422,NA,1.84172957956606,8.85066850794049,NA,NA,12.4183006535948
"2878",2018-03-21,12.2619954303123,12.62,16.7588402882521,NA,1.93057647013398,8.90665323849688,NA,NA,12.3216601815824
"2879",2018-03-22,12.2773089545241,12.3,16.5580359158852,NA,1.99045199045199,8.88110576021014,NA,NA,12.349593495935
"2880",2018-03-23,12.2751508759595,12.58,16.4492130546936,NA,1.91780119477989,8.85010906824556,NA,NA,12.3147923245081
"2881",2018-03-26,12.290994426518,12.95,16.6027237441386,NA,1.92147569333248,8.90355519581595,NA,NA,12.1845362481916
"2882",2018-03-27,12.303726271385,13.64,16.5161445312793,NA,1.90657035449892,8.88544891640867,NA,NA,12.1683735182647
"2883",2018-03-28,12.2773089545241,12.96,16.8092909535452,NA,1.90484765077364,8.93357405216958,NA,NA,12.2531892418949
"2884",2018-03-29,12.3845384479614,13.25,16.8422341989221,NA,1.94317946594908,9.08239700374532,NA,NA,12.2591659214698
"2885",2018-03-30,NA,NA,16.8410738481088,NA,1.88952735932081,NA,NA,NA,12.2392662933203
"2886",2018-04-02,NA,NA,16.9350617359978,NA,1.84489901605386,NA,NA,NA,12.260162601626
"2887",2018-04-03,12.4201561391057,13.28,17.0896549590931,NA,1.94552529182879,9.20706501315295,NA,NA,12.2748390251854
"2888",2018-04-04,12.5542928541679,13.02,16.9488913884224,NA,1.99321404151562,NA,NA,NA,12.2668404333306
"2889",2018-04-05,12.5743162901308,12.61,16.8562676067179,NA,NA,NA,NA,NA,12.2895898022553
"2890",2018-04-06,12.5525489963882,12.95,16.5935939593229,NA,NA,9.24884389451319,NA,NA,12.2465597264066
"2891",2018-04-09,12.5860023724792,13.3,16.5571716097672,NA,1.99474930505508,9.27777083593652,NA,NA,12.2331358064778
"2892",2018-04-10,12.6608674928503,13.34,16.5876596942696,NA,1.99553392794909,9.35988441485018,NA,NA,12.2308564027845
"2893",2018-04-11,12.6160437990955,13.39,16.5415930009333,NA,1.95595871612828,9.34579439252336,NA,NA,12.1957137080469
"2894",2018-04-12,12.7169359664871,13.56,16.6058795429213,NA,1.92945549346308,9.4078409162419,NA,NA,12.2271805273834
"2895",2018-04-13,12.6827812593256,13.9,16.5904063513227,NA,1.97245036538835,NA,NA,NA,12.2151026036175
"2896",2018-04-16,12.6516773733048,13.96,16.5401608700578,NA,1.97839872145177,9.46064873019864,NA,NA,12.1748263047342
"2897",2018-04-17,12.6261427044996,13.7,16.6441711278606,NA,1.97226701064173,9.35812083909057,NA,NA,12.1907841552142
"2898",2018-04-18,12.5968419185049,13.84,16.7105952769781,NA,1.95727475244337,9.37165859488018,NA,NA,NA
"2899",2018-04-19,12.5463862873299,13.41,16.7156739835731,NA,2.00381679389313,9.3613024420789,NA,NA,12.2164614387557
"2900",2018-04-20,12.5241978060656,13,16.7336010709505,NA,1.97745596666278,9.36563436563437,NA,NA,12.2822725052906
